time,load_w,solar_w,notes
00:00,280,0,Night base load
01:00,250,0,Night base load
02:00,240,0,Night base load
03:00,230,0,Night base load
04:00,240,0,Night base load
05:00,300,0,Early morning
06:00,450,20,Sunrise (cloudy)
07:00,900,150,Morning activity
08:00,700,400,Commute / breakfast
09:00,500,700,Intermittent sun
10:00,450,1100,Partly cloudy
11:00,420,1400,Occasional breaks
12:00,400,1500,Best of the day
13:00,410,1300,Clouds returning
14:00,430,1000,Mostly cloudy
15:00,460,700,Overcast periods
16:00,550,400,Kids home
17:00,900,100,Clouds thickening
18:00,1200,0,Dinner prep
19:00,1100,0,Dinner
20:00,950,0,Evening
21:00,800,0,Evening
22:00,600,0,Late evening
23:00,380,0,Night
